Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS
60,31.6018735,130.3754072,117,31.794706,130.472068,31.763625,130.20999,31.570744,130.114051,31.409207,130.279247,31.440171,130.540105,31.632788,130.636982,2
61,27.51138517,128.4557948,0,27.708364,128.542668,27.672664,128.295048,27.475651,128.208828,27.314556,128.369351,27.350141,128.61589,27.546935,128.702984,0
62,26.91972283,128.1977428,0,27.117336,128.283335,27.080993,128.037666,26.883347,127.952719,26.722257,128.112572,26.758486,128.357176,26.955918,128.442989,2
63,26.32613783,127.943481,0,26.524396,128.027819,26.487414,127.784075,26.289124,127.700373,26.128024,127.859555,26.164894,128.102253,26.362975,128.186811,2
64,36.389889,133.2330837,0,36.57814,133.344385,36.553536,133.062899,36.365212,132.952411,36.201821,133.122392,36.226316,133.402458,36.414309,133.513957,0
65,35.82467433,132.9028175,0,36.013417,133.012305,35.988076,132.733246,35.799264,132.624559,35.636113,132.793925,35.661343,133.071591,35.849833,133.181279,0
66,35.25796967,132.5779082,72,35.447212,132.685624,35.421143,132.408955,35.231834,132.30203,35.068906,132.470774,35.094864,132.746074,35.283859,132.853992,0
67,34.68975017,132.2582343,605,34.8795,132.364218,34.852711,132.089907,34.662897,131.984701,34.500177,132.152819,34.526854,132.425786,34.716362,132.531975,0
68,34.11999167,131.9436775,494,34.310258,132.047968,34.282756,131.77598,34.092428,131.672457,33.9299,131.839942,33.957289,132.11061,34.147319,132.215108,0
69,33.54866767,131.6341225,264,33.739459,131.736759,33.711252,131.467061,33.520401,131.365181,33.358049,131.532029,33.386143,131.80043,33.576702,131.903275,0
70,32.97575283,131.3294573,441,33.167078,131.430476,33.138172,131.163036,32.94679,131.062762,32.784598,131.22897,32.813391,131.495136,33.004488,131.596364,0
71,32.4012195,131.029573,1051,32.593087,131.12901,32.563489,130.863795,32.371567,130.765093,32.20952,130.930656,32.239004,131.194618,32.43065,131.294266,0
72,31.82504167,130.7343642,223,32.017461,130.832254,31.987177,130.569234,31.794706,130.472068,31.632788,130.636982,31.662958,130.898772,31.85516,130.996875,0
73,31.2471905,130.4437278,0,31.440171,130.540105,31.409207,130.279247,31.216177,130.183585,31.054373,130.347848,31.085224,130.607496,31.277991,130.704086,0
74,30.0863575,129.8757743,0,30.280489,129.969224,30.248181,129.712602,30.054005,129.619847,29.892385,129.7828,29.924579,130.038254,30.118506,130.131919,0
