Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS,GW Site
82,41.98635367,-123.071945,924.0,42.192406,-123.154156,42.036929,-123.355549,41.831194,-123.272929,41.780601,-122.990217,41.935462,-122.788752,42.14153,-122.870067,2,19
83,41.36862267,-122.8281928,892.0,41.574692,-122.908967,41.419704,-123.109136,41.213943,-123.027955,41.162847,-122.747889,41.317234,-122.547658,41.523316,-122.627552,2,19
84,40.75079733,-122.588677,729.0,40.956907,-122.668052,40.80238,-122.867005,40.596572,-122.787227,40.544976,-122.509761,40.698914,-122.310754,40.905035,-122.389263,2,19
85,40.132808,-122.3532907,172.0,40.338981,-122.4313,40.184889,-122.629048,39.97901,-122.550638,39.926918,-122.275728,40.080434,-122.077936,40.286616,-122.155094,2,19
86,39.51458667,-122.1219312,32.0,39.720845,-122.19861,39.567163,-122.395161,39.361191,-122.318085,39.308605,-122.045689,39.461725,-121.8491,39.667991,-121.924942,2,19
87,38.89606783,-121.894498,4.0,39.102434,-121.969879,38.949137,-122.165243,38.743051,-122.089469,38.689973,-121.819543,38.84272,-121.624148,39.049092,-121.698706,2,19
88,38.27718617,-121.6708952,0.0,38.483681,-121.74501,38.330746,-121.939197,38.124523,-121.864692,38.070958,-121.597196,38.223355,-121.402985,38.429854,-121.476291,2,19
89,37.6578785,-121.4510288,120.0,37.864523,-121.523908,37.711926,-121.716928,37.505548,-121.643662,37.451495,-121.378555,37.603566,-121.185518,37.810213,-121.257602,2,19
90,37.03808267,-121.2348083,435.0,37.244898,-121.306482,37.092617,-121.498345,36.886061,-121.426287,36.831524,-121.16353,36.98329,-120.971657,37.190106,-121.042549,2,19
91,36.4177385,-121.0221465,541.0,36.624744,-121.092644,36.472757,-121.283359,36.266005,-121.212481,36.210984,-120.952035,36.362468,-120.761316,36.569473,-120.831044,2,19
